ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
4.53,-56.49,5.86,0.0,0.22,0.74,472.42,0.63,313.98,166.08,1.08,-13.48,-12.48,4.53,108.01,16.27,0.79,40.55,0.0,0.0,32.59,119.78,137.22,0.0,1.05,1.55,1532.44,1.38,708.99,361.16,0.73,2.67,3.67,32.59,72.79,50.5,2.19,25.96,0.0,0.0,1
62.06,260.75,5998.9,0.01,0.08,6.33,35282.81,322.13,4307.88,27316.05,0.76,3.2,4.2,62.06,76.2,81.45,5.87,52.34,0.0,0.0,-31.62,-2498.31,-298.59,0.02,0.01,2.82,3437.22,-6.53,846.23,2408.66,0.99,78.01,79.01,-31.62,98.73,-31.95,3.62,65.44,0.0,0.0,1
-3.02,3.38,-2.14,0.02,0.1,0.11,259.43,33.41,464.97,5.17,1.89,-2.12,-1.12,64.44,189.34,5.74,-1.04,0.0,47.95,159.32,-47.11,41.79,-38.72,0.0,0.2,0.21,299.16,124.32,611.48,1.03,2.13,-1.89,-0.89,0.12,212.72,-20.21,-1.9,0.0,38.81,434.51,1
1.68,7.32,1.72,0.01,0.78,1.04,374.07,199.81,229.64,71.86,0.77,3.35,4.35,7.25,77.02,4.54,1.12,14.35,5.7,57.37,0.14,0.56,0.33,0.0,0.69,1.12,854.43,386.17,497.43,248.14,0.75,3.03,4.03,4.59,75.19,2.77,1.12,11.09,10.45,104.17,1
0.82,3.41,0.27,-0.01,0.63,1.22,121.33,53.17,73.3,50.02,0.76,3.15,4.15,49.98,75.93,1.08,2.04,8.18,16.34,105.94,-0.76,-3.44,-0.35,-0.17,0.44,1.58,165.35,53.94,77.37,102.1,0.78,3.53,4.53,47.41,77.91,-0.98,1.82,6.98,21.88,129.64,1
0.12,31.42,0.32,0.0,1.79,1.79,966.78,944.4,528.52,0.01,0.56,145.06,257.59,2.03,99.61,0.25,0.7,0.0,5.06,158.16,-4.4,115.28,-4.35,0.0,2.62,2.62,360.33,351.41,133.96,,0.39,-10.19,-26.21,-3.05,103.81,-11.24,-2.41,0.0,1.34,198.56,1
-6.96,-17.12,-6.19,0.03,1.39,1.39,324.92,190.64,138.5,0.05,0.59,1.46,2.46,23.38,59.36,-11.68,1.32,6.2,27.01,131.57,4.14,7.96,3.04,0.02,1.91,1.91,267.11,172.35,84.1,0.05,0.48,0.92,1.92,44.08,47.94,8.8,1.92,6.2,29.3,62.2,1
0.28,4.46,0.13,-0.01,0.96,1.07,160.82,143.77,148.48,16.84,0.94,14.65,15.65,7.32,93.61,0.4,,0.0,3.1,116.33,0.66,14.52,1.28,-0.1,0.94,1.05,708.6,694.65,669.01,73.18,0.95,21.03,22.03,3.52,95.46,0.69,,0.0,5.57,73.55,1
32.89,53.76,18.31,2.36,2.35,2.35,91.31,-0.54,76.36,,0.39,0.63,1.63,82.59,38.83,87.05,6.1,0.0,27.67,54.03,-65.48,160.75,-51.8,0.08,0.23,0.51,288.0,45.66,293.06,82.16,1.41,-3.45,-2.46,4.42,140.73,-39.77,-0.11,10.68,55.3,305.88,1
0.28,1.34,0.15,0.01,0.98,0.99,188.77,126.77,111.51,1.1,0.77,3.64,4.73,6.34,78.84,5.89,0.85,13.09,3.13,43.73,-4.51,-33.91,-2.72,0.01,0.85,0.88,219.32,152.95,159.52,4.81,0.86,6.44,7.51,1.43,86.69,-1.35,0.64,10.01,3.58,58.53,1
