,dataset,count
20,synthetic1,16
21,synthetic2,11
22,synthetic3,10
0,abalone-3_vs_11,10
1,abalone-9_vs_18,12
2,abalone-19_vs_10-11-12-13,14
3,abalone-20_vs_8-9-10,14
4,winequality-white-9_vs_4,21
5,winequality-white-3_vs_7,19
6,winequality-red-8_vs_6,14
7,winequality-red-3_vs_5,10
8,ecoli-0_vs_1,14
9,ecoli-0-4-6_vs_5,12
10,ecoli-0-3-4_vs_5,12
11,ecoli-0-2-3-4_vs_5,8
12,glass2,13
13,glass4,17
14,glass5,12
15,glass-0-1-6_vs_5,14
16,yeast3,10
17,yeast4,10
18,yeast5,8
19,yeast6,14
